Cluster,Stimuli,Size,Cluster,Stimuli,Size,Cluster,Stimuli,Size,Cluster,Stimuli,Size,Cluster,Stimuli,Size,Cluster,Stimuli,Size,Cluster,Stimuli,Size,Cluster,Stimuli,Size,Cluster,Stimuli,Size,Cluster,Stimuli,Size,
Unclassified,300,,Red,33,2,Red,125,2,Red,81,2,Red,125,2,Red,54,2,Red,43,2,Red,41,2,Red,71,2,Unclassified,300,,
Unclassified,300,,Unclassified,300,,Blue,67,2,Unclassified,300,,Unclassified,300,,Unclassified,300,,Blue,33,2,Blue,39,2,Unclassified,300,,Blue,48,2,
Blue,43,18,Blue,32,19,Blue,100,16,Blue,30,14,Blue,90,16,Blue,30,18,Blue,26,16,Blue,66,18,Blue,35,16,Blue,213,16,
Unclassified,300,,Unclassified,300,,Unclassified,300,,Unclassified,300,,Unclassified,300,,Unclassified,300,,Unclassified,300,,Unclassified,300,,Unclassified,300,,Unclassified,300,,
Unclassified,300,,Unclassified,300,,Unclassified,300,,Unclassified,300,,Unclassified,300,,Red,43,2,Unclassified,300,,Unclassified,300,,Unclassified,300,,Unclassified,300,,
Blue,34,11,Blue,26,11,Unclassified,300,,Unclassified,300,,Unclassified,300,,Blue,29,13,Unclassified,300,,Blue,213,14,Blue,45,11,Unclassified,300,,
Unclassified,300,,Blue,76,7,Green,14,4,Unclassified,300,,Blue,54,7,Unclassified,300,,Unclassified,300,,Green,115,4,Blue,25,6,Blue,52,6,
Unclassified,300,,Blue,38,3,Unclassified,300,,Unclassified,300,,Unclassified,300,,Unclassified,300,,Green,125,2,Unclassified,300,,Unclassified,300,,Unclassified,300,,
Unclassified,300,,Unclassified,300,,Unclassified,300,,Unclassified,300,,Unclassified,300,,Unclassified,300,,Unclassified,300,,Unclassified,300,,Unclassified,300,,Unclassified,300,,
Gray,62,2,Unclassified,300,,Unclassified,300,,Unclassified,300,,Gray,17,4,Unclassified,300,,Unclassified,300,,Unclassified,300,,Unclassified,300,,Unclassified,300,,
